obra,pagina,estrato,classe_predita,qualidade_predita,n_palavras_pagina,trecho_inicio,trecho_meio,trecho_fim,estrato_correto,classe_correta,erro_extracao,decisao_metodologica
latour_woolgar_1986_lab_life_en,236,inicio_capitulo,inicio_capitulo,boa,226,"Chapter 6 THE CREATION OF ORDER OUT OF DISORDER In examining the construction of facts in a laboratory, we have presented the general organisation of the setting as constituted by someone unfamiliar with science (Chapter 2); we showed how the history of some of the laboratory's a...","ed, looking especially at the paradox of the term fact (Chapter 4); we then turned to the individuals in the laboratory in an attempt to make sense both of their careers and the solidity of their production (Chapter 5 ). In each of these chapters we defined terms which were often...","eceding chapters in an attempt more systematically to link the different concepts used. At the same time, we shall review some of the methodological problems encountered so far. It will not have escaped the reader's notice, for example, that a major problem arises from our conten...",,,,
latour_woolgar_1986_lab_life_en,16,inicio_capitulo,inicio_capitulo,boa,290,Chapter 1 FROM ORDER TO DISORDER 5 mins. John enters and goes into his office. He says something very quickly about having made a bad mistake. He had sent the review of a paper. . . . The rest of the sentence is inaudible. 5 mins. 30 secs. Barbara enters. She asks Spencer what ki...,"rently writing at his desk, answers from his office. Jane leaves. 6 mins. 15 secs. Wilson enters and looks into a number of offices, trying to gather people together for a staff meeting. He receives vague promises. ""It's a question of four thousand bucks which has to be resolved ...","abel. He leaves the room. Long silence. The library is empty. Some write in their offices, some work by windows in the brighly lit bench space. The staccato noise of typewriting can be heard from the lobby. 9 mins. Julius comes in eating an apple and perusing a copy of Nature. 9 ...",,,,
latour_woolgar_1986_lab_life_en,244,inicio_capitulo,inicio_capitulo,boa,446,"The Creation of Order Out of Disorder 243 in other laboratories. This is the nature of the market defined in Chapter 5. No matter whether this taken-for-granted peptidic structure takes the form of a nonproblematic argument or of a white powder sample, the only important question...","hat it was more difficult for Watson to doubt it or simply to object that the keto form was equally probable. The cost-benefit analysis will vary according to the prevailing circumstances, so no general rules can be established. The style of an article can make it more difficult ...","and the set of productive forces, which makes construction possible. Every time a statement stabilises, it is reintroduced into the laboratory (in the guise of a machine, inscription device, skill, routine, prejudice, deduction, programme, and so on), and it is used to increase t...",,,,
latour_woolgar_1986_lab_life_en,248,corpo,corpo,boa,450,"The Creation of Order Out of Disorder 247 curves. One particular curve is selected, cleaned up, put on a slide and shown around in conjunction with the statement: ""Stress simultaneously releases ACTH and Beta Endorphine."" This statement stands out of and for the mass of figures. ...","haotic: statements have to be pushed, forced into the light, defended against attack, oblivion, and neglect. Very few statements are seized upon by everyone in the field because their use entails an enormous economy in the manipulation of data or statements (Brillouin, 1962: Ch. ...","ther than disorder. This basic philosophical assumption has recently been challenged, and our intention in the next part of this chapter is to show what light is shed on laboratory activity if such an assumption is modified. To do this in full would entail going beyond the usual ...",,,,
latour_woolgar_1986_lab_life_en,111,corpo,corpo,boa,450,"110 LABORATORY LIFE of one or two of a certain set of eight papers. Within this network, then, TRH is accepted as a fact in the sense that it is sufficient to know that ""TRH regulates the release by the pituitary of TSH,"" that ""its chemical formula is Pyro-Glu-His-Pro-NH 2 "" and ...","ource of noise, for the researcher. For a still smaller group, comprising a few score individuals and half a dozen laboratories, TRH is not merely a tool. For them, TRH represents and entire subfield. Indeed, for a few of the individuals in our study, it represented a lifetime's ...","nt as a nonproblematic substance is confined to a few hundred new investigators. Outside these networks TRH simply does not exist(see Chapter 4). In the hands of outsiders and once devoid of its label, TRH would be merely thought of as ""some kind of white powder."" It would only b...",,,,
latour_woolgar_1986_lab_life_en,85,corpo,corpo,boa,433,"84 LABORATORY LIFE external object or objective condition of which the statements were taken to be indicators. Sources of ""subjectivity"" thus disappeared in the face of more than one statement, and the initial statement could be taken at face value and without qualification (cf.,...","atus of the statement. In the laboratory, ""objects"" were accomplished by the superimposition of several documents obtained from inscription devices within the laboratory or from papers by investigators outside the laboratory (cf., Chapter 4). No statement could be made except on ...","us, although the author had presented his statement as a type 2 or 3, the referee recast it in terms of type 1. Consider also the following: ""The authors used a Polytron which is a much more vigorous means of tissue disruption. To my knowledge, there are no reports in the literat...",,,,
latour_woolgar_1986_lab_life_en,102,notas_fim,notas_fim,boa,4,Image Not Available 1O1,Image Not Available 1O1,Image Not Available 1O1,,,,
latour_woolgar_1986_lab_life_en,96,notas_fim,notas_fim,boa,4,Image Not Available 95,Image Not Available 95,Image Not Available 95,,,,
latour_woolgar_1986_lab_life_en,94,notas_fim,notas_fim,boa,4,Image Not Available 93,Image Not Available 93,Image Not Available 93,,,,
latour_woolgar_1986_lab_life_en,293,paratexto,paratexto,boa,429,"292 LABORATORY L FE Demand, for credible information, 201-208 Historicity, 239 Derrida, J., 88, 261 History of science, 106-107 Description, constraints on the, 38, 44, 254 Hoagland, J , 230 n 5 Dietrich (pseudonym) his career, 194-198 Horton, R., 42 Discovery, 129, 173, 185 Hoyl...","and artefact, Jutisz, P , 129 174 ff Falsification, 156 Kant, E , 175 Fetishism 259 n 10 Kawabata, Y , 247 Feyerabend, K., 251 Knorr, K., 54, 150, 152, 173, 175, 184, Fiction, 257, 261 230, 232, 236, 239, 251 Field (informant), 212 ff , 232 Kuhn, T , 24 Flower, 154 Folkers, K., 1...","man, T , 175 Habermas, J., 239 Lyotard, J. F., 150, 237 Hagstrom, W O , 52, 203 ff Hard and soft, as a consequence of instru- Machlup, F , 258 ments, 66 ff ; Harder and softer, 142, Marx, K , 179, 231, 259 their difference, 257 Mass spectrometer, 150; its role, 242, 259 Harris, G...",,,,
latour_woolgar_1986_lab_life_en,284,paratexto,paratexto,boa,469,"PostScript 283 gation-namely the ways in which descriptions and reports of observations are variously presented (and received) as ""good enough,"" ""inadequate,"" ""distorted,"" ""real,"" ""accurate"" and so on. A more reflexive appreciation of laboratory studies is less dismissive of what...","need to explore forms of literary expressive whereby the monster can be simultaneously kept at bay and allowed a position at the heart of our enterprise. 8 Of course, one interesting aspect of the exploration of reflexivity is that our writing is conventionally constrained by the...","is at face value, and go away happy that he is better informed about the character of laboratory roofs (and views therefrom). For such readers we are naturally pleased to increase their sum of knowledge about the world. But, unfortunately, much would have been lost. We hoped that...",,,,
latour_woolgar_1986_lab_life_en,7,paratexto,paratexto,boa,202,6 LABORATORY LIFE The Elimination of Concurrent Efforts by New Investments 119 The Construction of a New Object 124 The Peptidic Nature of TRF 129 Narrowing Down the Possibilities 142 TRF Moves into Other Networks 148 Notes 149 4 THE MICROPROCESSING OF FACTS,"e Form of Credibility to Another 198 The Demand for Credible Information 201 Strategies, Positions and Career Trajectories Curriculum Vitae 208 Positions 211 Trajectories 214 Group Structure 216 Group Dynamics 223 Notes","277 The Place of Philosophy 279 The Demise of the ""Social"" 281 Reflexivity 282 Conclusion 284 Notes 285 Additional References 287 Index 291",,,,
latour_woolgar_1986_lab_life_en,296,qualidade_baixa,qualidade_baixa,baixa,0,,,,,,,
latour_woolgar_1986_lab_life_en,222,qualidade_baixa,qualidade_baixa,baixa,1,221,221,221,,,,
latour_woolgar_1986_lab_life_en,1,qualidade_baixa,qualidade_baixa,baixa,0,,,,,,,
latour_1987_science_action_en,5,inicio_capitulo,inicio_capitulo,boa,185,Part A: The trials of rationality. Part B: Sociologics. Part C: Who needs hard facts? Chapter 6 Centres of calculation 215 Prologue: The domestication of the savage mind. Part A: Action at a distance. Part B: Centres of calculation. Part C: Metrologies Appendix 1 Rules of Method ...,Rules of Method 258 Appendix 2 Principles 259 Notes 260 References 266 Index 271 ((viii)) Acknowledgements Not being a native English speaker I had to rely heavily on my friends to revise successive drafts of this manuscript. John Law and Penelope Dulling have been most patient i...,"ve been most patient in revising the earlier drafts. Steven Shapin, Harry Collins, Don MacKenzie, Ron W estrum and Leigh Star suffered each on one different chapter. I have been most fortunate in having Geoffrey Bowker edit the whole book, 'debug' it and suggest many useful chang...",,,,
latour_1987_science_action_en,286,inicio_capitulo,inicio_capitulo,boa,185,Chapter 4 1 I follow here Roy Porter's account (1982). See also his (1977) book on the formation of the new discipline of geology. 2 See D. Kevles (1978) as an excellent example of the historical study of a scientific profession. 3 This example is a collage. 4 Although all the el...,"ample is a collage. 4 Although all the elements are accurate, this is an ideal-type and not a real example. 5 See T. Kidder (1981). 6 Most of the figures used in this part come from the National Science Foundation's Science Indicators published in Washington every two years. 7 Se...","ors published in Washington every two years. 7 See OECD (1984). 8 Number of doctorates in the US: total: 360,000; in research: 100,000; in development: 18,000 (Science Indicators, 1983, p. 254). 9 Number of scientists and engineers engaged in R & D by type of occupation and emplo...",,,,
latour_1987_science_action_en,148,inicio_capitulo,inicio_capitulo,boa,487,"Part C. The model of diffusion ""versus the model of translation The task of the fact-builders is now clearly outlined: there is a set of strategies to enlist and interest the human actors, and a second set to enlist and interest the non-human actors so as to hold the first. When ...","their own inner strength. In the end, if everything goes really well, it seems as if there are facts and machines spreading through minds, factories and households, slowed down only in a handful of farflung countries and by a few dimwits. Success in building black boxes has the s...","ain of people who borrowed claims varied from time to time because of the many elements the claims were tied to. If people wished to open the boxes, to renegotiate the facts, to appropriate them, masses of allies arrayed in tiers would come to the rescue of the claims and force t...",,,,
latour_1987_science_action_en,127,corpo,corpo,boa,527,"make my gyrocompass a real thing; wait a little, come my way, and after a while your ships will make full use of their terrifying powers again and my gyrocompasses will spread in ships and planes in the form of well-closed black boxes.' This community of interests is the result o...","his is what occurred with Diesel. MAN was ready to wait for a few years, to lend engineers, with the idea that they would soon resume their usual business of manufacturing engines but on a larger scale. If the return is delayed, the management may feel cheated, as if they were pe...","accepted standard for measuring detours because the 'acceptable' length of the detour is a result of negotiation. MAN, for instance, became worried after only a few years, but the private medical foundations that invested in Lawrence's huge accelerators at Berkeley did not, even ...",,,,
latour_1987_science_action_en,267,corpo,corpo,boa,517,smallest change in the geometry of projection might have enormous consequences since the flow of forms coming from all over the planet and back to all the navigators will be altered. The tiny projection system is an obligatory passage point for the immense network of geography. T...,"how to reconcile their readings when they are so far apart that it takes time for the observer of one clock to send the information to another observer, he is not in an abstract world, he is deep down at the centre of all exchanges of information, attentive to the most material a...","n general, `proximity', `association', the more central their work will become since it will concentrate still further what is going on in the centres of calculation. The sheer accumulation of nth order paper forms makes any nth+1 form that can at the same time maintain the featu...",,,,
latour_1987_science_action_en,19,corpo,corpo,boa,509,"like model, suddenly brings a new strength to his emerging new model. Not only are the pairs superimposable, but Chargaff laws can be made a consequence of his model. Another feature came to strengthen the model: it suggests a way for a gene to split into two parts and then for e...","e Wilkins and Rosalind Franklin, the only ones with X-rays pictures of the DNA, have? Will they see the model as the only form able to give, by projection, the shape visible on Rosalind's photographs? They'd like to know fast but dread the danger of the final showdown with people...","overwhelmed and then pledging complete support to it. Bragg is convinced although still worried that no one more serious than Jim and Francis had checked the helix. Now for the big game, the encounter between the model and those who for years had captured its projected image. 'Ma...",,,,
latour_1987_science_action_en,283,notas_fim,notas_fim,boa,334,"factor from a human pancreatic tumor that caused acromegaly', Science, vol. 218, pp. 585-7. 10 The article commented on here is by C. Packer, 'Reciprocal altruism in papio P.', Nature 1977 Vol. 265, no. 5593, pp. 441-443. Although this transformation of the literature is a sure t...","l Chemistry, vol. 256, no. 9 pp. 4219-27. On this and many other borderline cases, see W. Broad and N. Wade (1982). 12 For a general presentation see M. Callon, J. Law and A. Rip (eds) (1986). 13 On the somatostatin episode see Wade (1981, chapter 13). 14 For a good introduction ...","ing here the work of Mary Jo Nye (1980, 1986). 4 On this see N. Wade (1981, Chapter 13). 5 I am following here the empirical example studied by H. Collins (1985), although his description of the ways of settling controversies is rather different and will be analysed in Part II of...",,,,
latour_1987_science_action_en,284,notas_fim,notas_fim,boa,264,"9 I am using here D. MacKenzie's (1978) article. See also his (1981) book on the larger setting of the same controversy. 10 On this episode of the discovery of somatostatin see N. Wade (1981 chapter 13). 11 This excerpt is taken from E. Duclaux's Traité de biochimie (1896), vol. ...","echblende', Comptes Rendus de l'Académie des Sciences, vol. 127, pp. 175-8. 13 For the definition of these words and of all the concepts of semiotics see A. Greimas and J. Courtès (1979/1983). For a presentation of semiotics in English see F. Bastide (1985). 14 See J. W. Dauben (...","ativism has been nicely summed up in many articles by Harry Collins. See in particular his latest book (1985). Chapter 3 1 For a presentation of laboratory studies see K. Knorr (1981), K. Knorr and M. Mulkay (eds) (1983) and M. Lynch (1985). 2 I am following in this introduction ...",,,,
latour_1987_science_action_en,285,notas_fim,notas_fim,boa,326,"6 I follow here T.P. Hughes (1971). 7 On this see D. Kevles (1978), on the many different strategies to interest a society in the development of a profession. 8 This knowledge seems excessive to many sociologists of science (see S. Woolgar (1981), M. Callon and J. Law (1982), B. ...","this chapter. 14 This example is taken from L. Tolstoy's masterpiece (1869). 15 This expression has been proposed by J. Law (1986) in correlation with his notion of 'heterogeneous engineering'. 16 On this, see the notion of 'reverse salient' proposed by T. Hughes (1983). 17 I am ...","he necessary symmetry. On this see M. Callon (1986). 21 On Newcomen's engine see B. Gille (1978) 22 For a reader, a bibliography and an introduction to these many strategies, see D. MacKenzie and J. Wajcman (1985). 23 For a critical introduction to the notion of discovery, see A....",,,,
latour_1987_science_action_en,294,paratexto,paratexto,boa,224,"--- (1953) and Dubos, J. The White Plague: Tuberculosis, Man, and Society, Boston, Little Brown and Co. Dauben, J. W. (1979). Georges Cantor: His Mathematics and Philosophy of the Infinite. Cambridge, Mass., Harvard University Press. Desmond, Adrian (1975). The Hot-Blooded Dinosa...","ality, Tradition andRevolution. Ann Arbor, University of Michigan Press. --- (1978). Galileo at Work: His Scientific Biography. Chicago, Chicago University Press. Duclaux, Emile (1896). Pasteur: Histoire d'un Esprit. Sceaux, Charaire. Easlea, Brian (1980). Witch-Hunting, Magic an...","986). 'The ultracentrifuge: interpretive flexibility and the development of a technological artefact'. Social studies of science (forthcoming) Evans-Pritchard, E.E. (1937/1972). Witchcraft, Oracles and Magic Among the Azande (translated from the French). Oxford Clarendon Press. F...",,,,
latour_1987_science_action_en,301,paratexto,paratexto,boa,89,"Bill 72, 74, 83 black box, definition 2, borrowing them, 81-82, new definition 131, and machines 253 Blondlot 75, 78, 100 Bloor D. 184 Boas 109 Bodin 191-192 book of nature 244, 254 bootlegging 113, 114 botany 229 Brazeau P. 86-88 breaching 207 Bulmer R. 199-202, 210-213 bureaucr...",chemistry 235-236,"Bill 72, 74, 83 black box, definition 2, borrowing them, 81-82, new definition 131, and machines 253 Blondlot 75, 78, 100 Bloor D. 184 Boas 109 Bodin 191-192 book of nature 244, 254 bootlegging 113, 114 botany 229 Brazeau P. 86-88 breaching 207 Bulmer R. 199-202, 210-213 bureaucr...",,,,
latour_1987_science_action_en,305,paratexto,paratexto,boa,145,"Gray E. 187, 189, 197 great divide 211, 216, 221, 228, 232 growth hormone releasing hormone 23 et seq., 36, 108 Guillemin R. 27 et seq., 36 et seq., 45 et seq., 80 et seq., 86, 92, 95 hard facts 206 et seq., 252 health systems 172 hero, in the text 53-54, in the laboratory 88-91 ...","q., 36 et seq., 45 et seq., 80 et seq., 86, 92, 95 hard facts 206 et seq., 252 health systems 172 hero, in the text 53-54, in the laboratory 88-91 hidden agenda, of the text 55 Hutchins E. 187-188, 210 hygiene movement 115, 142 idea 135 immutable mobiles 227 et seq., 236-237 indu...","oratory 88-91 hidden agenda, of the text 55 Hutchins E. 187-188, 210 hygiene movement 115, 142 idea 135 immutable mobiles 227 et seq., 236-237 induction 51 industry 165, 170 inertia 132 et seq., 137, 250 information, definition 243 innovation 107 inscription 218 inscription devic...",,,,
latour_1987_science_action_en,72,qualidade_baixa,qualidade_baixa,baixa,26,2. kolonne: A.C M-(A.C) M+(A.C) H(A.C) Frontline 3. kolonne: A.D M-(A.D) Frontline 4. kolonne E.D M-(E.D) M+(E.D) H(E.D) Frontline 5. kolonne: E.F M-(E.F) M+(E.F) H(E.F) E.F,. kolonne: A.C M-(A.C) M+(A.C) H(A.C) Frontline 3. kolonne: A.D M-(A.D) Frontline 4. kolonne E.D M-(E.D) M+(E.D) H(E.D) Frontline 5. kolonne: E.F M-(E.F) M+(E.F) H(E.F) E.F,2. kolonne: A.C M-(A.C) M+(A.C) H(A.C) Frontline 3. kolonne: A.D M-(A.D) Frontline 4. kolonne E.D M-(E.D) M+(E.D) H(E.D) Frontline 5. kolonne: E.F M-(E.F) M+(E.F) H(E.F) E.F,,,,
latour_1987_science_action_en,314,qualidade_baixa,qualidade_baixa,baixa,0,,,,,,,
latour_1999_pandora_en,35,inicio_capitulo,inicio_capitulo,boa,318,"C H A P T E R T W 0 Circulating Reference Sampling the Soil in the Amazon Forest The only way to understand the reality of science studies is to follow what science studies does best, that is, paying close attention to the de tails of scientific practice. Once we have described t...","I have chosen a discipline, soil science, and a situation, a field trip in the Amazon, that will not require too much previous knowledge. As we examine in detail the practices that produce information about a state of affairs, it should become clear how very unrealistic most of t...",", nor even two dis tinct ontological domains, but an entirely different phenomenon : cir culating reference* . To capture it, we need to slow our pace a bit and set aside all our time-saving abstractions. With the help of my camera, I will attempt to bring some sort of order to t...",,,,
latour_1999_pandora_en,12,inicio_capitulo,inicio_capitulo,boa,308,"C H A P T E R 0 N E ""Do You Believe in Reality?"" Newsfrom the Trenches of the Science Wars ""I have a question for you,"" he said, taking out of his pocket a crum pled piece of paper on which he had scribbled a few key words. He took a breath: ""Do you believe in reality?"" ""But of c...","tation of a Swiss resort located in the tropical mountains of Teresopolis in Brazil. Has reality truly become something people have to believe in, I wondered, the answer to a serious question asked in a hushed and embarrassed tone? Is reality something like God, the topic of a co...","ly, something like ""Of course not! Do you think I am that naive?"" This was not a joke, then: he really was concerned, and his query had been in earnest. ""I have two more questions,"" he added, sounding more relaxed. ""Do we know more than we used to?"" ""But of course! A thousand tim...",,,,
latour_1999_pandora_en,124,inicio_capitulo,inicio_capitulo,boa,315,"C H A P T E R F 0 U R From Fabrication to Reality Pasteur and His Lactic Acid Ferment We have now made two moves that should begin to modify for good the settlement* laid out in the first chapter. The notion of a world ""out there"" to which a mind-in-a-vat tries to get access by e...","that reference is not something that is added to words, but that it is a circulating phenomenon, whose deambulation to borrow, once again, William James's term-should not be inter rupted by any saltation if we want words to refer to the things progres sively packed into them. Ins...","ociety, psychology, ideology, people"" ; and at the same time, ""Be absolutely, not relatively, sure of the laws of the world outside. "" Against this contradictory injunction, we realized that the only rea sonable, the only realistic way for a mind to speak truthfully about the wor...",,,,
latour_1999_pandora_en,231,corpo,corpo,boa,446,"PAN D O R A ' S H O P E 220 accuses Socrates of being enslaved by the people of Athens and of for getting what makes noble masters superior to the hoi polloi: ""You pre tend that truth is your goal, Socrates, but in actual fact you steer discussions towards this kind of ethical id...","LLICLES : I can't explain it, Socrates, but I do think you're making your points well. All the same, I'm feeling what people invariably feel with you : I'm not entirely convinced. SO CRATES : It s the demotic love residing in your heart which is resisting ' me, Callicles. ( 5 13c...","re, but their worst quality, for our two protagonists, is even more elementary : the great constitutive defect of the people is that there are simply too many of them. ""A rhetorician, then, "" says Socrates with his tranquil arrogance, ""isn't concerned to educate the people assemb...",,,,
latour_1999_pandora_en,189,corpo,corpo,boa,444,"PANDORA'S HOPE 178 techniques, that techniques are nothing more than pliable and diligent slaves. This simple example is enough to show that artifacts are no easier to grasp than facts : it took us two chapters to understand Pas teur's doubled epistemology, and it is going to tak...","plishment of the agent's goal is interrupted for whatever reason (perhaps the agent is not strong enough), then the agent makes a detour, a deviation like the one we saw in Chapter 3 in the operations of conviction between Joliot and Dautry: one cannot speak of techniques any mor...","al 2., then the materialist story obtains. The gun's intent, the gun's will, the gun's script have superseded those of Agent 1 ; it is human action that is no more than an intermediary. Note that in the figure it makes no difference if Agent 1 and Agent 2. are re versed. The myth...",,,,
latour_1999_pandora_en,157,corpo,corpo,boa,433,"PA N D O R A ' S HOPE decided to abandon. To do away with this divide, we decided to grant historicity to the microorganisms, not only to the humans discovering them. This entails that we should be able to say that not only the mi crobes-for-us-humans changed in the 1850s, but al...","portray nature, in movement instead of as a still life. Again, the divide between what pertains to human history and what to natural history would not have been bridged in the slightest. Episte mology and ontology would remain divided, no matter how agitated or chaotic the cosmos...","till using the same example as in Chapter 4, at the risk of giving the reader an over dose of lactic acid ferment. And then, to test the usefulness of this vo cabulary, I will shift to another canonical example from Pasteur's life, his debate with Pouchet over spontaneous generat...",,,,
latour_1999_pandora_en,7,paratexto,paratexto,boa,254,"A C K N O W L E D G M E NT S viii again he offered a shelter for my work. My main gratitude goes, how ever, to John Tresch, who streamlined the language and logic of the manuscript. If readers are not satisfied with the result, they should try to imagine the jungle through which ...","w facts, nor it is exactly a book of philosophy. In it, using only very rudimentary tools, I simply try to present, in the space left empty by the dichotomy between subject and object,._4_,g>Jl!;; ptμ_aj $. 9.fil'.. PP..Y._fq .!? -P . h._u man and nonhuman,:. I agree that powerfu...","may succeed against the kidnapping of scientific disci plines by science warriors where others have failed. One last caveat. Throughout this book I use the expression ""science studies"" as if this discipline exists and is a homogeneous body of work with a single coherent metaphysi...",,,,
latour_1999_pandora_en,9,paratexto,paratexto,boa,34,C O NTENTS x Glossary 303 Bibliography 3 12 Index 317 AUTHOR'S NOTE: Words and phrases that I use in a technical sense are marked with an asterisk; for their definitions see the Glossary.,technical sense are marked with an asterisk; for their definitions see the Glossary.,C O NTENTS x Glossary 303 Bibliography 3 12 Index 317 AUTHOR'S NOTE: Words and phrases that I use in a technical sense are marked with an asterisk; for their definitions see the Glossary.,,,,
latour_1999_pandora_en,335,paratexto,paratexto,boa,52,"INDEX 32 4 Waterfield, Robin, 218 Yeast, fermentation from, 115-116, 118, Weart, Spencer, 84-86, 90 120-121, 124, 126-127, 129, 131-133, 143, Weinberg, Steven, 216-218, 25 8-259, 265 150, 153 Wenner-Grenn Foundation, 2 Whitehead, Alfred North, 141, 153, 305- Zero-sum game, 114, 1...","7, 147 306, 311 World War Il, 82-83, 88, 107, 111","INDEX 32 4 Waterfield, Robin, 218 Yeast, fermentation from, 115-116, 118, Weart, Spencer, 84-86, 90 120-121, 124, 126-127, 129, 131-133, 143, Weinberg, Steven, 216-218, 25 8-259, 265 150, 153 Wenner-Grenn Foundation, 2 Whitehead, Alfred North, 141, 153, 305- Zero-sum game, 114, 1...",,,,
latour_1999_pandora_en,11,qualidade_baixa,qualidade_baixa,baixa,0,,,,,,,
latour_1999_pandora_en,1,qualidade_baixa,qualidade_baixa,baixa,0,,,,,,,
latour_1999_pandora_en,336,qualidade_baixa,qualidade_baixa,baixa,0,,,,,,,
