obra,campo,camada,id_kwic,pagina,termo_encontrado,contexto_antes,trecho_central,contexto_depois,uso_figural,subcategoria,comentario
latour_1996_clarifications_en,textil,A_top_densidade,latour_1996_clarifications_en#textil#0000,1,fibrous,societies cannot be described without recognizing them as having a,fibrous,"thread-like, wiry, stringy, ropy, capillary character that is never captured",,,
latour_1996_clarifications_en,textil,A_top_densidade,latour_1996_clarifications_en#textil#0001,1,netting,"that resistance, obduracy and sturdiness is more easily achieved through",netting,"lacing, weaving, twisting, of ties that are weak by themselves,",,,
latour_1996_clarifications_en,textil,A_top_densidade,latour_1996_clarifications_en#textil#0002,1,lacing,"resistance, obduracy and sturdiness is more easily achieved through netting,",lacing,"weaving, twisting, of ties that are weak by themselves, and",,,
latour_1996_clarifications_en,textil,A_top_densidade,latour_1996_clarifications_en#textil#0003,1,weaving,"obduracy and sturdiness is more easily achieved through netting, lacing,",weaving,"twisting, of ties that are weak by themselves, and that",,,
latour_1996_clarifications_en,textil,A_top_densidade,latour_1996_clarifications_en#textil#0004,1,twisting,"and sturdiness is more easily achieved through netting, lacing, weaving,",twisting,"of ties that are weak by themselves, and that each",,,
latour_1996_clarifications_en,textil,B_aleatoria,latour_1996_clarifications_en#textil#0000,1,capillary,"recognizing them as having a fibrous, thread-like, wiry, stringy, ropy,",capillary,"character that is never captured by the notions of levels,",,,
latour_1996_clarifications_en,textil,B_aleatoria,latour_1996_clarifications_en#textil#0001,1,fabric,grant them sociality and to tie them with the social,fabric,The third one is to consider them as a semiotic,,,
latour_1996_clarifications_en,textil,B_aleatoria,latour_1996_clarifications_en#textil#0002,1,nets,AT makes use of some of the simplest properties of,nets,and then add to it an actor that does some,,,
latour_1996_clarifications_en,textil,B_aleatoria,latour_1996_clarifications_en#textil#0003,1,threads,"matter how strong, is itself woven out of still weaker",threads,permeates for instance Foucault’s analysis of micro-powers as well as,,,
latour_1996_clarifications_en,textil,B_aleatoria,latour_1996_clarifications_en#textil#0004,1,woven,"and that each tie, no matter how strong, is itself",woven,"out of still weaker threads, permeates for instance Foucault’s analysis",,,
latour_1996_clarifications_en,textil,C_variantes_raras,latour_1996_clarifications_en#textil#0000,1,thread,"cannot be described without recognizing them as having a fibrous,",thread,"wiry, stringy, ropy, capillary character that is never captured by",,,
latour_1996_clarifications_en,textil,C_variantes_raras,latour_1996_clarifications_en#textil#0001,1,wiry,"be described without recognizing them as having a fibrous, thread-like,",wiry,"stringy, ropy, capillary character that is never captured by the",,,
latour_1996_clarifications_en,textil,C_variantes_raras,latour_1996_clarifications_en#textil#0002,1,stringy,"described without recognizing them as having a fibrous, thread-like, wiry,",stringy,"ropy, capillary character that is never captured by the notions",,,
latour_1996_clarifications_en,textil,C_variantes_raras,latour_1996_clarifications_en#textil#0003,1,ropy,"without recognizing them as having a fibrous, thread-like, wiry, stringy,",ropy,capillary character that is never captured by the notions of,,,
latour_1996_clarifications_en,textil,C_variantes_raras,latour_1996_clarifications_en#textil#0004,1,fabrics,reinjection of the things into our understanding of the social,fabrics,is through a network-like ontology and social theory. To remain,,,
latour_1996_clarifications_en,topologia,A_top_densidade,latour_1996_clarifications_en#topologia#0000,1,disconnected,tyranny of distance” or proximity; elements which are close when,disconnected,"may be infinitely remote if their connections are analyzed; conversely,",,,
latour_1996_clarifications_en,topologia,A_top_densidade,latour_1996_clarifications_en#topologia#0001,1,proximity,"but that in order to obtain the effects of distance,",proximity,"hierarchies, connectedness, outsiderness and surfaces, an enormous supplementary work has",,,
latour_1996_clarifications_en,topologia,A_top_densidade,latour_1996_clarifications_en#topologia#0002,1,surfaces,"obtain the effects of distance, proximity, hierarchies, connectedness, outsiderness and",surfaces,an enormous supplementary work has to be done. This work,,,
latour_1996_clarifications_en,topologia,A_top_densidade,latour_1996_clarifications_en#topologia#0003,1,nodes,exclusively related yet very distant element with the circulation between,nodes,being made compulsory through a set of rigorous paths giving,,,
latour_1996_clarifications_en,topologia,A_top_densidade,latour_1996_clarifications_en#topologia#0004,1,nodes,through a set of rigorous paths giving to a few,nodes,"a strategic character. Nothing is more intensely connected, more distant,",,,
latour_1996_clarifications_en,topologia,B_aleatoria,latour_1996_clarifications_en#topologia#0000,1,flows,"Second, actors are not conceived as fixed entities but as",flows,"as circulating objects, undergoing trials, and their stability, continuity, isotopies",,,
latour_1996_clarifications_en,topologia,B_aleatoria,latour_1996_clarifications_en#topologia#0001,1,loci,rule but the exceptions that have to be accounted for.,Loci,contingencies or clusters are more like archipelagos on a sea,,,
latour_1996_clarifications_en,topologia,B_aleatoria,latour_1996_clarifications_en#topologia#0002,1,paths,"network -it may be local, it may have no compulsory",paths,"no strategically positioned nodes. Tom Hughes’s “networks of power” (198-),",,,
latour_1996_clarifications_en,topologia,B_aleatoria,latour_1996_clarifications_en#topologia#0003,1,trajectory,"shadow forth, inscroll, file, list, record, mark, or tag a",trajectory,that is called a network. No net exists independently of,,,
latour_1996_clarifications_en,topologia,B_aleatoria,latour_1996_clarifications_en#topologia#0004,1,grid,established by the grid system and the work of geographers;,grid,layering and map making is another network and not what,,,
latour_1996_clarifications_en,topologia,C_variantes_raras,latour_1996_clarifications_en#topologia#0000,1,topology,Deleuze’s parlance 197-). More precisely it is a change of,topology,Instead of thinking in terms of surfaces two dimension- or,,,
latour_1996_clarifications_en,topologia,C_variantes_raras,latour_1996_clarifications_en#topologia#0001,1,topology,"by those traditional words without having to buy the ontology,",topology,and politics that goes with them. AT has been developped,,,
latour_1996_clarifications_en,topologia,C_variantes_raras,latour_1996_clarifications_en#topologia#0002,1,connection,be defined by connectibility. The geographical notion is simply another,connection,to a grid defining a metrics and a scale. The,,,
latour_1996_clarifications_en,topologia,C_variantes_raras,latour_1996_clarifications_en#topologia#0003,1,scales,plagued social theory from its inception. The whole metaphor of,scales,"going from the individual, to the nation state, through family,",,,
latour_1996_clarifications_en,topologia,C_variantes_raras,latour_1996_clarifications_en#topologia#0004,1,locus,of society; it makes absolutely no assumption whether a specific,locus,is macro- or micro- and does not modify the tools,,,
latour_1996_clarifications_en,network,A_top_densidade,latour_1996_clarifications_en#network#0000,1,networks,complications Bruno Latour CSI-Paris/Science Studies-San Diego Exploring the properties of,networks,is the task that the Paris group of science and,,,
latour_1996_clarifications_en,network,A_top_densidade,latour_1996_clarifications_en#network#0001,1,networks,this paper to list some of the interesting properties of,networks,and to explain some of the misunderstandings that have arisen.,,,
latour_1996_clarifications_en,network,A_top_densidade,latour_1996_clarifications_en#network#0002,1,networks,"have no compulsory paths, no strategically positioned nodes. Tom Hughes’s",networks,"of power” (198-), to give a historical example, are actor-networks",,,
latour_1996_clarifications_en,network,A_top_densidade,latour_1996_clarifications_en#network#0003,1,networks,"“networks of power” (198-), to give a historical example, are",networks,at the beginning of the story and only some of,,,
latour_1996_clarifications_en,network,A_top_densidade,latour_1996_clarifications_en#network#0004,1,networks,only some of their stabilized elements end up to be,networks,"in the engineer’s On actor-network theory sense, that is the",,,
latour_1996_clarifications_en,network,B_aleatoria,latour_1996_clarifications_en#network#0000,1,network,is done by an actor exterior to the net. A,network,is not a thing but the recorded movement of a,,,
latour_1996_clarifications_en,network,B_aleatoria,latour_1996_clarifications_en#network#0001,1,networks,has very little to do with the study of social,networks,These studies no matter how interesting concerns themselves with the,,,
latour_1996_clarifications_en,network,B_aleatoria,latour_1996_clarifications_en#network#0002,1,network,Three misunderstandings are due to comon usages of the word,network,itself and the connotations they imply. The first mistake would,,,
latour_1996_clarifications_en,network,B_aleatoria,latour_1996_clarifications_en#network#0003,1,network,connections is left to the actors themselves. The notion of,network,allows us to lift the tyranny of social theorists and,,,
latour_1996_clarifications_en,network,B_aleatoria,latour_1996_clarifications_en#network#0004,1,network,which networks are situated Small scale/large scale: the notion of,network,allows us to dissolve the micro- macro distinction that has,,,
latour_1996_clarifications_en,network,C_variantes_raras,latour_1996_clarifications_en#network#0000,1,networking,a network of allies and extend his power -doing some,networking,or “liaising” as Americans say... This is alas the way,,,
latour_1996_clarifications_en,network,C_variantes_raras,latour_1996_clarifications_en#network#0001,1,networks,grid. Even at this later stage the engineering definition of,networks,are still a partial projection of an actor-network. The second,,,
latour_1996_clarifications_en,network,C_variantes_raras,latour_1996_clarifications_en#network#0002,1,networks,societies and natures. It does not wish to add social,networks,to social theory but to rebuild social theory out of,,,
latour_1996_clarifications_en,network,C_variantes_raras,latour_1996_clarifications_en#network#0003,1,networks,to social theory but to rebuild social theory out of,networks,"It is as much an ontology or a metaphysics, as",,,
latour_1996_clarifications_en,network,C_variantes_raras,latour_1996_clarifications_en#network#0004,1,networks,"much an ontology or a metaphysics, as a sociology. Social",networks,will of course be included in the description but they,,,
latour_1996_clarifications_en,actor_network,A_top_densidade,latour_1996_clarifications_en#actor_network#0000,1,actor-network,one of the possible final and stabilized state of an,actor-network,An actor network may lack all the characteristics of a,,,
latour_1996_clarifications_en,actor_network,A_top_densidade,latour_1996_clarifications_en#actor_network#0001,1,actor network,the possible final and stabilized state of an actor-network. An,actor network,may lack all the characteristics of a technical network -it,,,
latour_1996_clarifications_en,actor_network,A_top_densidade,latour_1996_clarifications_en#actor_network#0002,1,actants,a building; -an ontological claim on the “networky” character of,actants,themselves. AT asserts that the limits of these three unrelated,,,
latour_1996_clarifications_en,actor_network,A_top_densidade,latour_1996_clarifications_en#actor_network#0003,1,actants,“selection” of finer and finer embranchments going from abstract structure,actants,to concrete ones actors. The generative path that is thus,,,
latour_1996_clarifications_en,actor_network,A_top_densidade,latour_1996_clarifications_en#actor_network#0004,1,actants,"claims outside the text in the “social”, and what the",actants,themselves really do in “nature”. The circulating object goes on,,,
latour_1996_clarifications_en,actor_network,B_aleatoria,latour_1996_clarifications_en#actor_network#0000,1,actant,it. An “actor” in AT is a semiotic definition -an,actant,"that is, something that acts or to which activity is",,,
latour_1996_clarifications_en,actor_network,B_aleatoria,latour_1996_clarifications_en#actor_network#0001,1,actor network,us to retie the links between these three resources. The,actor network,theory developped by Callon and his colleagues is an attempt,,,
latour_1996_clarifications_en,actor_network,B_aleatoria,latour_1996_clarifications_en#actor_network#0002,1,actor-network,Abtstract for a paper The trouble with,actor-network,theory by Bruno Latour Three resources have been developped over,,,
latour_1996_clarifications_en,actor_network,B_aleatoria,latour_1996_clarifications_en#actor_network#0003,1,actor-network,elements end up to be networks in the engineer’s On,actor-network,"theory sense, that is the electrical grid. Even at this",,,
latour_1996_clarifications_en,actor_network,B_aleatoria,latour_1996_clarifications_en#actor_network#0004,1,actor-network,network. Such is not however the basic metaphor of an,actor-network,A technical network in the engineer’s sense is only one,,,
latour_1996_clarifications_en,actor_network,C_variantes_raras,latour_1996_clarifications_en#actor_network#0000,1,actant,to human individual actors but extend the word actor or,actant,"to non-human, non individual entities. Whereas social network adds information",,,
latour_1996_clarifications_en,actor_network,C_variantes_raras,latour_1996_clarifications_en#actor_network#0001,1,actant,"of human individual actors, nor of humans in general. An",actant,can literally be anything provided it is granted to be,,,
latour_1996_clarifications_en,actor_network,C_variantes_raras,latour_1996_clarifications_en#actor_network#0002,1,actant,rule a quasi-object should be thought of as a moving,actant,that transforms those which do the moving because they transform,,,
latour_1996_clarifications_en,actor_network,C_variantes_raras,latour_1996_clarifications_en#actor_network#0003,1,actants,“(x)-morphic”. It might happen that a generative path has limited,actants,"to a homogeneous repertoire of humans, or of mecanism, or",,,
latour_1996_clarifications_en,actor_network,C_variantes_raras,latour_1996_clarifications_en#actor_network#0004,1,actor-network,exactly grasping the social theory and quaint ontology entailed by,actor-network,"(but see Callon, Courtial, Lavergne 1990). Three misunderstandings are due",,,
